datum,firma,stelle,kategorie,region
2025-09-29,TECVIA,Frontend Developer (m/w/d),Softwareentwicklung / IT,Regensburg
2025-09-29,Attek,Junior Fullstack Entwickler,Softwareentwicklung / IT,Berlin
2025-09-29,Intend,Mobile-Developer C#/.NET (m/w/d) – 100 % Remote,Softwareentwicklung / IT,Kassel
2025-09-29,FIOSYSTEMS,C# Backend Software Entwickler (remote),Softwareentwicklung / IT,Leipzig
2025-10-06,ADVERGYGmbH,(Senior) C#/.NET Fullstack Entwickler (m/w/d) – Ref. OPP-25-09-03909,Softwareentwicklung / IT,Hamburg
2025-10-06,GEFASOFT,Softwareentwicklerin,Softwareentwicklung / IT,Regensburg
2025-10-06,evopro,Softwareentwicklerin,Softwareentwicklung / IT,Regensburg
2025-10-07,SIITechnologiesGmbH,Software Developer C# / .NET (m/w/x),Softwareentwicklung / IT,Regensburg
2025-10-09,Alfatraining,Softwareentwicklerin C# (m/w/d),Softwareentwicklung / IT,Karlsruhe
2025-10-13,Krones,Automatisierungs- /Softwareingenieur (m/w/d) mit Schwerpunkt Robotik Referenznummer: 2025-1189,Softwareentwicklung / IT,Neutraubling
2025-10-20,CodeCompass,NET Software Engineer (m/w/d) – remote,Softwareentwicklung / IT,Remote
2025-10-20,GFN,Trainee IT-Ausbilderin (m/w/x) – GFN GmbH,Trainee,Regensburg
2025-10-21,InfoTip,Backend-Developer (all genders),Softwareentwicklung / IT,Bochum
2025-10-21,IQVIA,Softwareentwicklerin C#/.NET (m/w/d),Softwareentwicklung / IT,Frankfurt am Main
2025-10-23,Kaupa,C# Entwicklerin – Homeoffice,Softwareentwicklung / IT,Remscheid
2025-10-24,FinanzIT,KI-Engineer (m/w/d) beim Landesamt für Finanzen – FinanzIT BAYERN,Softwareentwicklung / IT,Regensburg
2025-10-24,Hallowelt,"Softwaretester:in (Teilzeit, Home Office bevorzugt)",Softwareentwicklung / IT,Regensburg
2025-10-28,ROPA,Fachinformatiker Anwendungsentwicklung (m/w/d) bei ROPA am Standort TechBase Regensburg,Softwareentwicklung / IT,Sittelsdorf
2025-10-29,EA,Softwareentwicklerin für individuelle Lösungen (m/w/d) – Kennziffer J26707,Softwareentwicklung / IT,Düsseldorf
2025-10-29,Lersch,Full Stack C# / .NET Developer (m/f/d),Softwareentwicklung / IT,Regensburg
2025-10-30,niwadev,Softwareentwicklerin C#/.NET,Softwareentwicklung / IT,Augsburg
2025-11-14,HAPEKO,Junior Software-Entwickler .NET / C#,Softwareentwicklung / IT,Regensburg
2025-11-19,RHAPSODY,Junior Software-Entwickler .NET / C#,Softwareentwicklung / IT,Rheine
2025-11-19,INFOMOTION,Trainee im Bereich Data & Analytics,Trainee,Frankfurt am Main
2025-11-27,WattFox,C# Fullstack Developer (m/w/d),Softwareentwicklung / IT,Freiburg im Breisgau
2025-12-02,PostHog,Softwareentwickler,Softwareentwicklung / IT,Berlin
2025-12-08,LinoPro,Softwareentwicklerin C# (m/w/d),Softwareentwicklung / IT,Dresden
2025-12-24,KA Resources,Softwareentwicklerin C# / .NET,Softwareentwicklung / IT,Gran Canaria (Spanien)
2025-12-24,VESTERLING,Softwareentwicklerin (C# / .NET),Softwareentwicklung / IT,München
2025-12-24,IVUSoftwareentwicklungGmbH,Softwareentwickler (m/w/d),Softwareentwicklung / IT,Burglengenfeld
2026-01-05,Piening,Software Developer – Produktentwicklung Logistiksoftware,Softwareentwicklung / IT,Osnabrück
