firma,status,letzte_antwort,anzahl_antworten
Acadoro,Absage,2026-06-15,2
Aide,Absage,2026-09-03,6
Akkodis,Absage,2026-08-26,6
Alfatraining,Absage,2025-10-29,2
Allgeier,Zwischenbescheid,2026-06-24,4
ASMPT,Absage,2026-09-02,6
audaris,Absage,2026-08-24,3
Brunel,Absage,2026-05-24,2
Debeka,Absage,2026-06-24,3
Duvenbeck,Zwischenbescheid,2026-04-25,1
Eckert Schulen,Sonstige,2026-09-02,2
ETA,Zwischenbescheid,2026-07-22,4
evopro,Absage,2025-11-17,1
eWorks,Absage,2026-05-15,3
Fels-Werke,Sonstige,2026-05-26,1
FERCHAU,Sonstige,2026-09-03,11
FinanzIT,Sonstige,2025-10-24,2
FNTIO,Absage,2026-06-01,2
GEFASOFT,Absage,2026-08-25,4
GUS,Absage,2026-02-25,1
Hallo Welt,Zwischenbescheid,2026-05-26,1
HiQ,Absage,2026-06-03,2
Hypoport,Absage,2025-10-02,2
IEMTEC,Sonstige,2026-06-01,1
INFOMOTION,Absage,2025-11-26,1
INSYS,Absage,2026-06-22,1
Intend,Absage,2025-10-23,2
IQVIA,Sonstige,2025-11-12,4
KA Resources,Absage,2025-11-04,2
Klärwerk,Absage,2026-06-17,3
knowis,Sonstige,2026-08-19,2
KRONES,Absage,2026-09-03,9
Landkreis,Absage,2026-06-19,2
Meierhofer,Absage,2026-08-06,2
Neumeier,Absage,2026-04-02,2
Neumueller,Absage,2026-08-19,3
Nexis,Absage,2026-04-01,1
niwadev,Absage,2025-11-28,3
OPTITOOL,Absage,2026-06-03,4
OptWare,Absage,2026-08-17,2
PassionforPeople,Absage,2026-05-18,1
proLogistik,Absage,2025-11-14,5
RADAS,Zwischenbescheid,2026-09-04,7
Raiffeisenbank,Absage,2026-06-12,2
Randstad,Sonstige,2026-06-12,4
Reinhausen,Zwischenbescheid,2026-08-20,4
RHAPSODY,Absage,2025-11-28,1
Rodday,Absage,2026-04-29,2
ROPA,Absage,2025-11-17,2
SCHÄFER,Sonstige,2026-08-29,1
Skalbach,Absage,2026-05-20,2
SOG,Absage,2026-05-26,2
Sparda,Absage,2026-07-23,5
SYSTEMA,Absage,2026-08-26,4
TECVIA,Absage,2026-07-06,4
Treukontax,Absage,2026-06-16,3
zeitconcept,Zwischenbescheid,2026-08-29,2
­ experts,Einladung,2026-05-19,3
