firma,ort,quelle
Acadoro,Kirchheim unter Teck,Recherche
ADVERGYGmbH,Hamburg,Recherche
Aide,Regensburg,Recherche
Akkodis,Regensburg,Recherche
Alfatraining,Karlsruhe,"Anschreiben (unsicher, zu prüfen)"
Allgeier,Regensburg,Recherche
Alphatrail,Regensburg,Recherche
APIS,Wörth a.d. Donau,Recherche
ARINNAU,Regensburg,Firmenliste
ASMPT,Regensburg,Firmenliste
Attek,Berlin,Recherche
audaris,Neutraubling,Recherche
AVL Software,Regensburg,Firmenliste
Bavaria,Regensburg,Firmenliste
Brunel,Regensburg,Recherche
CADOSYS,Langenfeld,Recherche
CALConsult,Versmold,Recherche
citema,Grasbrunn,Recherche
CodeCompass,Remote,Recherche (Stelle explizit als remote ausgeschrieben)
Debeka,Regensburg,Recherche
Duvenbeck,Regensburg,"Recherche (unsicher, Terminal laut Quelle)"
EA,Düsseldorf,Recherche
Eckert Schulen,Regenstauf,"Anschreiben (unsicher, zu prüfen)"
Eduvation IT Services,Gelsenkirchen,Recherche
ETA,Heilbronn,Recherche
evopro,Regensburg,Firmenliste
eWorks,Frankfurt am Main,Recherche
Fels-Werke,Saal an der Donau,Recherche
FERCHAU,Regensburg,Recherche
FinanzIT,Regensburg,"Anschreiben (unsicher, zu prüfen)"
FIOSYSTEMS,Leipzig,Recherche
FNTIO,Regensburg,Recherche
fuljoyment,Brüsewitz,Recherche
GEFASOFT,Regensburg,Firmenliste
Gefasoft,Regensburg,Firmenliste
GEVAS,München,"Recherche (unsicher, evtl. GEVAS AG Regensburg statt GEVAS software)"
GFN,Regensburg,Recherche
GUS,Köln,Recherche
Hallo Welt,Regensburg,Bewerbungsprotokoll
Hallowelt,Regensburg,Bewerbungsprotokoll
HAPEKO,Regensburg,Recherche
Harris,Regensburg,"Recherche (unsicher, ueber TECVIA/Harris Group)"
HiQ,Regensburg,Recherche
Hypoport,Regensburg,Recherche
ibi systems GmbH,Regensburg,Recherche
IEMTEC,Barbing,Recherche
ILS-Industrie,Regensburg,Recherche
InCore,Regensburg,Firmenliste
IndustrialAnalyticsLab,Wetter (Ruhr),Recherche
INFOMOTION,Frankfurt am Main,Recherche
InfoTip,Bochum,Recherche
INSYS,Regensburg,Recherche
Intend,Kassel,Recherche
IQVIA,Frankfurt am Main,Recherche
iSSoftware,Regensburg,"Anschreiben (unsicher, zu prüfen)"
IVU,Berlin,Recherche
IVUSoftwareentwicklungGmbH,Burglengenfeld,Recherche
KA Resources,Gran Canaria (Spanien),Recherche
Kaupa,Remscheid,Recherche
Klärwerk,Regensburg,"Anschreiben (unsicher, zu prüfen)"
knowis,Regensburg,Firmenliste
KRONES,Neutraubling,"Anschreiben (unsicher, zu prüfen)"
Krones,Neutraubling,Recherche
Landkreis,Regensburg,Recherche
Lersch,Regensburg,Recherche
LinoPro,Dresden,Recherche
MEDIFOX,Hildesheim,Recherche
Meierhofer,Aschheim,Recherche
Motus,Regensburg,Recherche
n-komm,Karlsruhe,Recherche
Neumeier,Regensburg,"Anschreiben (unsicher, zu prüfen)"
Neumueller,Regensburg,Recherche
Neumüller,Regensburg,Firmenliste
Nexis,Regensburg,Bewerbungsprotokoll
niwadev,Augsburg,Recherche
officepeople,Regensburg,Recherche
OPTITOOL,Regensburg,Recherche
OptWare,Regensburg,Firmenliste
PassionforPeople,Stuttgart,Recherche
Piening,Osnabrück,Recherche
PostHog,Berlin,Recherche
proLogistik,Regensburg,Firmenliste
RADAS,Berlin,Recherche
Raiffeisenbank,Regensburg,Recherche
Randstad,Regensburg,Recherche
Reinhausen,Regensburg,Firmenliste
RHAPSODY,Rheine,Recherche
RIS,Regensburg,Firmenliste
Rockstardevelopers,Regensburg,Recherche
Rodday,,zu recherchieren
ROPA,Sittelsdorf,"Anschreiben (unsicher, zu prüfen)"
Scandio,Regensburg,Recherche
Schapfl,Straubing,Recherche
SCHÄFER,Regensburg,"Anschreiben (unsicher, zu prüfen)"
SIITechnologiesGmbH,Regensburg,Recherche
sixaAG,Zürich,Recherche
Skalbach,Stuttgart,Recherche
SOG,Regensburg,"Anschreiben (unsicher, zu prüfen)"
Sparda,Regensburg,"Anschreiben (unsicher, zu prüfen)"
Sparda-Bank,Regensburg,Recherche
SpardaBank,Regensburg,Recherche
StadtRegensburg,Regensburg,"Anschreiben (unsicher, zu prüfen)"
Syskron,Wackersdorf,Recherche
SYSTEMA,Regensburg,Firmenliste
systema,Regensburg,Firmenliste
SystemLogistics,Wackersdorf,"Anschreiben (unsicher, zu prüfen)"
TAPKO,Regensburg,Firmenliste
TECVIA,Regensburg,Recherche
Tecvia,Regensburg,Recherche
Trenkwalder,Regensburg,Recherche
Treukontax,Regensburg,Recherche
Valentum,Regensburg,Firmenliste
Vektor,Regensburg,"Anschreiben (unsicher, zu prüfen)"
VerlagHerder,Freiburg im Breisgau,Recherche
VESTERLING,München,Recherche (unsicher)
WattFox,Freiburg im Breisgau,Recherche
zeitconcept,Regensburg,Recherche
­ experts,München,"Recherche (unsicher, vermutlich Allgeier Experts Pro GmbH, kein bestätigter Regensburg-Standort)"
