status,datum,firma,ort,art,schwerpunkt,notizen,rueckmeldung,anzahl_bewerbungen,beworbene_stellen,grund
BEWORBEN,05.09.2026,Incore Asset Management Solution AG,Regensburg,IT-Teamassistenz,"IT, Softwaretesting, Support, Datenverarbeitung",★★★★ Guter Fit,,1,Umschulung Fachinformatikerin Anwendungsentwicklung (05.02.2026),
BEWORBEN,05.09.2026,Neumüller Personalberatung e.K.,Regensburg,Bewerbung,"C#/.NET, Python, Software, Testing, Automatisierung",★★★★★ Sehr passend; konkrete Stelle als Anwendungsentwicklerin,,1,SPS Programmiererin (w/m/d) Industrie 4.0 (19.08.2026),
BEWORBEN,25.08.2026,proLogistik GmbH,Wackersdorf,Bewerbung,"C#/.NET, Software, Testautomatisierung, Automation",★★★★★ Sehr passend; konkrete Junior-Stelle,,1,Softwareentwicklerin C# für die Intralogistik (m/w/d) (21.08.2026),
BEWORBEN,11.08.2026,trinnovative GmbH,Regensburg,Initiativbewerbung,"C#/.NET, Software, Cloud, KI",,❌ Absage,0,,
BEWORBEN,11.08.2026,OneVision Software AG,Regensburg,Initiativbewerbung,"C#/.NET, Software, Automation",,,0,,
BEWORBEN,11.08.2026,iS Software GmbH / Kraftwerk.io,Regensburg,Initiativbewerbung,"C#/.NET, Software, Daten",,,0,,
BEWORBEN,11.08.2026,Vector Informatik GmbH,Regensburg,Initiativbewerbung,"C#/.NET, technische Software",Automatisierung,❌ Absage,0,,
BEWORBEN,12.08.2026,GEFASOFT,Regensburg,Initiativbewerbung,"C#/.NET, Python, Automation",Sehr passend,,3,Softwareentwicklerin (06.10.2025); Softwareentwicklerin C# / .NET (m/w/d) (14.05.2026); Softwareentwicklerin C#/.NET (12.08.2026),
BEWORBEN,12.08.2026,OptWare,Regensburg,Initiativbewerbung,"Software, Data, KI",,❌ Absage,1,"Softwareentwicklerin – C#/.NET, Python & Data Analytics (12.08.2026)",
BEWORBEN,12.08.2026,knowis AG,Regensburg,Initiativbewerbung,"Software, Cloud, KI",,❌ Absage,1,"Softwareentwicklerin – C#/.NET, Python & Data Analytics (12.08.2026)",
BEWORBEN,12.08.2026,AVL Software and Functions GmbH,Regensburg,Ausbildung / Anfrage,"Data, Python, Automation",2 J. Umschulung / 1 J. Trainee möglich,❌ Absage,1,Fachinformatikerin für Daten- und Prozessanalyse – Autonomous Mobility (13.08.2026),
BEWORBEN,14.08.2026,ARINNAU GmbH,Regensburg,Bewerbung,"Testing, C#/.NET, Python",Professional/Senior Tester,,1,Softwaretester / Testautomatisierer (m/w/d) (14.08.2026),
BEWORBEN,14.08.2026,ASMPT AMICRA GmbH,Regensburg,Initiativbewerbung,"C#/.NET, Testing, Automation",Entwickler / Tester / Produktion / Trainee,❌ Absage,3,IT Solution Specialist (m/w/d) (24.07.2026); Software-Entwickler/in C# / C++ (m/w/d) (31.07.2026); – Softwareentwicklung / Softwaretesting / technische Funktionen (14.08.2026),
BEWORBEN,14.08.2026,Bavaria Systems GmbH,Regensburg,Bewerbung,"Python, Web, Django, Backend",Programmierer; Trainee möglich,,1,Programmiererin (Web / Python / Django) (14.08.2026),
BEWORBEN,20.08.2026,Valentum Engineering GmbH,Regensburg,Initiativbewerbung,"C#/.NET, Testing, Automation",★ Sehr passend,,1,"Softwareentwicklerin / Softwaretesterin – C#/.NET, Automatisierung & technische Software (20.08.2026)",
BEWORBEN,20.08.2026,evopro systems engineering AG,Regensburg,Initiativbewerbung,"C#/.NET, Testing, Automation Support, SPS/SCL",★★★★★ Sehr passend; auch technischer Support,,2,"Softwareentwicklerin (06.10.2025); Softwareentwicklerin / Softwaretesterin / IT- Support – C#/.NET, Automatisierung und technische Software (20.08.2026)",
BEWORBEN,20.08.2026,Maschinenfabrik Reinhausen GmbH,Regensburg,Initiativbewerbung,"Software, Testing, Automatisierung, Python",★ Sehr interessant Systemtest & Automatisierung,,3,"Softwareentwicklerin für eine Prüfplattform (m/w/d) (12.05.2026); im Bereich IT, Softwareentwicklung und Digitalisierung (07.06.2026); Softwareentwicklerin / Testerin – Automatisierung & Systemtest (20.08.2026)",
BEWORBEN,20.08.2026,SYSTEMA Projekte,Regensburg,Initiativbewerbung,"Software, SAP, Support","Junior SAP/Softwareentwicklung; ABAP/SAP neu, Einarbeitung",,2,Softwareentwicklerin (m/w/d) (05.02.2026); Softwareentwicklerin / Junior-SAP-Entwicklerin (20.08.2026),
