firma,ort,erste_bewerbung,letzte_bewerbung,anzahl_bewerbungen,beworbene_stellen
Acadoro,Kirchheim unter Teck,04.06.2026,04.06.2026,1,Full Stack Softwareentwickler im Homeoffice (m/w/d) (04.06.2026)
ADVERGYGmbH,Hamburg,06.10.2025,06.10.2025,1,(Senior) C#/.NET Fullstack Entwickler (m/w/d) – Ref. OPP-25-09-03909 (06.10.2025)
Aide,Regensburg,11.05.2026,11.05.2026,1,Entwickler (m/w/d) im Bereich Automatisierungstechnik / Simulation (11.05.2026)
Akkodis,Regensburg,05.05.2026,19.08.2026,2,Großraum Regensburg – Softwareentwicklung / IT / Data (05.05.2026); SPS-Programmiererin (m/w/d) (19.08.2026)
Alfatraining,Karlsruhe,09.10.2025,09.10.2025,1,Softwareentwicklerin C# (m/w/d) (09.10.2025)
Alphatrail,Regensburg,04.05.2026,04.05.2026,1,Supply Chain Management – Trainee Programm (04.05.2026)
APIS,Wörth a.d. Donau,25.04.2026,25.04.2026,1,Softwareentwicklerin – C# / .NET / REST (25.04.2026)
Attek,Berlin,29.09.2025,29.09.2025,1,Junior Fullstack Entwickler (29.09.2025)
audaris,Neutraubling,17.08.2026,17.08.2026,1,PHP-Backend-Entwicklerin (m/w/d) (17.08.2026)
Brunel,Regensburg,08.01.2026,11.05.2026,2,Softwareentwickler C# / JavaScript (m/w/d) (08.01.2026); SPS-Programmiererin mit Erfahrung im Siemens-Umfeld (11.05.2026)
CADOSYS,Langenfeld,27.04.2026,27.04.2026,1,Softwareentwicklerin (C# / .NET) (27.04.2026)
CALConsult,Versmold,01.05.2026,01.05.2026,1,Fullstack Engineer (.NET) – Remote (01.05.2026)
citema,Grasbrunn,31.07.2026,31.07.2026,1,Full-Stack-Entwickler (m/w/d) (31.07.2026)
CodeCompass,Remote,20.10.2025,20.10.2025,1,NET Software Engineer (m/w/d) – remote (20.10.2025)
Debeka,Regensburg,08.06.2026,08.06.2026,1,Quereinsteigerin im Vertrieb Versicherungen und Finanzen (w/m/d) (08.06.2026)
Duvenbeck,Regensburg,25.04.2026,25.04.2026,1,Softwareentwicklerin (C# / .NET) (25.04.2026)
EA,Düsseldorf,29.10.2025,29.10.2025,1,Softwareentwicklerin für individuelle Lösungen (m/w/d) – Kennziffer J26707 (29.10.2025)
Eckert Schulen,Regenstauf,25.08.2026,25.08.2026,1,"Fullstack Entwickler / Softwareentwickler (m/w/d) – React, Node.js & .NET (25.08.2026)"
Eduvation IT Services,Gelsenkirchen,30.05.2026,30.05.2026,1,Backend Developer (m/w/d) (30.05.2026)
ETA,Heilbronn,26.03.2026,26.03.2026,1,Position über ETA Personal GmbH (26.03.2026)
eWorks,Frankfurt am Main,07.05.2026,07.05.2026,1,C#-Entwicklerin (07.05.2026)
Fels-Werke,Saal an der Donau,26.05.2026,26.05.2026,1,"im Bereich IT, Softwareentwicklung oder kaufmännisch- technischer Bürobereich (26.05.2026)"
FERCHAU,Regensburg,05.02.2026,05.02.2026,1,Softwareentwicklerin (m/w/d) – Kennziffer ID59-28965-R (05.02.2026)
FinanzIT,Regensburg,24.10.2025,24.10.2025,1,KI-Engineer (m/w/d) beim Landesamt für Finanzen – FinanzIT BAYERN (24.10.2025)
FIOSYSTEMS,Leipzig,29.09.2025,29.09.2025,1,C# Backend Software Entwickler (remote) (29.09.2025)
FNTIO,Regensburg,03.05.2026,30.05.2026,2,NET Developer (Backend) – Remote (03.05.2026); Full-Stack Entwickler (m/w/d) - .NET 100% Remote (30.05.2026)
fuljoyment,Brüsewitz,07.08.2026,07.08.2026,1,Senior Softwareentwicklerin .NET mit KI-Fokus (m/w/d) (07.08.2026)
GEVAS,München,27.02.2026,27.02.2026,1,Softwareentwicklerin – Standort Regensburg (27.02.2026)
GFN,Regensburg,20.10.2025,20.10.2025,1,Trainee IT-Ausbilderin (m/w/x) – GFN GmbH (20.10.2025)
GUS,Köln,28.01.2026,28.01.2026,1,Softwareentwicklerin – ERP-Umfeld (28.01.2026)
Hallo Welt,Regensburg,26.05.2026,26.05.2026,1,Sales Trainee im B2B- Softwarevertrieb (26.05.2026)
Hallowelt,Regensburg,24.10.2025,24.10.2025,1,"Softwaretester:in (Teilzeit, Home Office bevorzugt) (24.10.2025)"
HAPEKO,Regensburg,14.11.2025,14.11.2025,1,Junior Software-Entwickler .NET / C# (14.11.2025)
Harris,Regensburg,27.04.2026,27.04.2026,1,Softwareentwicklerin Datenmigration (27.04.2026)
HiQ,Regensburg,09.01.2026,09.01.2026,1,Fullstack Software Engineer (m/w/d) – ASP.NET Core (09.01.2026)
Hypoport,Regensburg,03.05.2026,03.05.2026,1,C# Backend Entwickler / .NET (m/w/d) – Remote (03.05.2026)
ibi systems GmbH,Regensburg,30.04.2026,30.04.2026,1,Backend Entwickler C# / .NET (30.04.2026)
IEMTEC,Barbing,01.06.2026,01.06.2026,1,SPS-Programmiererin (m/w/d) (01.06.2026)
ILS-Industrie,Regensburg,25.04.2026,25.04.2026,1,Softwareentwicklerin (C# / .NET) (25.04.2026)
IndustrialAnalyticsLab,Wetter (Ruhr),30.05.2026,30.05.2026,1,Junior Software Developer (m/w/d) 100% Remote (30.05.2026)
INFOMOTION,Frankfurt am Main,19.11.2025,19.11.2025,1,Trainee im Bereich Data & Analytics (19.11.2025)
InfoTip,Bochum,21.10.2025,21.10.2025,1,Backend-Developer (all genders) (21.10.2025)
INSYS,Regensburg,01.05.2026,01.05.2026,1,Backend Entwickler (m/w/d) – Referenzcode 200-01-26 (01.05.2026)
Intend,Kassel,29.09.2025,29.09.2025,1,Mobile-Developer C#/.NET (m/w/d) – 100 % Remote (29.09.2025)
IQVIA,Frankfurt am Main,21.10.2025,21.10.2025,1,Softwareentwicklerin C#/.NET (m/w/d) (21.10.2025)
iSSoftware,Regensburg,11.08.2026,11.08.2026,1,Softwareentwicklerin C#/.NET (11.08.2026)
IVU,Berlin,16.03.2026,30.07.2026,2,Softwareentwicklerin Backend (C# / .NET) (16.03.2026); Softwareentwicklerin Backend – Energiewirtschaft & Agentic Coding (30.07.2026)
IVUSoftwareentwicklungGmbH,Burglengenfeld,24.12.2025,24.12.2025,1,Softwareentwickler (m/w/d) (24.12.2025)
KA Resources,Gran Canaria (Spanien),24.12.2025,24.12.2025,1,Softwareentwicklerin C# / .NET (24.12.2025)
Kaupa,Remscheid,23.10.2025,23.10.2025,1,C# Entwicklerin – Homeoffice (23.10.2025)
Klärwerk,Regensburg,11.03.2026,11.03.2026,1,Informatiker (m/w/d) im Klärwerk – Stellen-Nr. 65-12:3714 (11.03.2026)
KRONES,Neutraubling,27.05.2026,16.06.2026,2,Trainee (m/w/d) Human Resources Personalentwicklung (27.05.2026); Software Developer (m/w/d) (16.06.2026)
Krones,Neutraubling,13.10.2025,13.10.2025,1,Automatisierungs- /Softwareingenieur (m/w/d) mit Schwerpunkt Robotik Referenznummer: 2025-1189 (13.10.2025)
Landkreis,Regensburg,07.06.2026,07.06.2026,1,"im Bereich IT-Support, Digitalisierung und Verwaltung (07.06.2026)"
Lersch,Regensburg,29.10.2025,29.10.2025,1,Full Stack C# / .NET Developer (m/f/d) (29.10.2025)
